video_id,original_name,original_url,original_thumbnail,date,repost_name,repost_url,repost_thumbnail,translation_status,video_comment,author_db_id,yt_name,yt_url,yt_avatar,nico_name,nico_url,nico_avatar,twitter_name,twitter_url,twitter_avatar,author_comment
1,＃2【東方MMD紙芝居】パチュリーの魔法薬（前編）,https://www.youtube.com/watch?v=vKi3gawvw1Q,https://i.ytimg.com/vi_webp/vKi3gawvw1Q/maxresdefault.webp,2021-08-12,【东方MMD】帕秋莉的魔法药,https://www.bilibili.com/video/BV1tU4y1E7H4,https://i2.hdslb.com/bfs/archive/36e0146399ee48d6f906f20301b91cdd8ed8bf01.jpg,2,熟肉为前后两篇的合集（1/2）,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
2,＃1【東方MMD紙芝居】リセット魔理沙,https://www.youtube.com/watch?v=mTQWhG1z09w,https://i.ytimg.com/vi/mTQWhG1z09w/maxresdefault.jpg,2021-08-09,【东方MMD】重启魔理沙,https://www.bilibili.com/video/BV1aq4y1Q7X2,https://i2.hdslb.com/bfs/archive/7cb33861d7ee09ec628fe17a61293c77600090bd.jpg,2,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
3,＃3【東方MMD紙芝居】パチュリーの魔法薬（後編）,https://www.youtube.com/watch?v=0N2Th0TGwMc,https://i.ytimg.com/vi_webp/0N2Th0TGwMc/maxresdefault.webp,2021-08-17,【东方MMD】帕秋莉的魔法药,https://www.bilibili.com/video/BV1tU4y1E7H4?&p=2,https://i2.hdslb.com/bfs/archive/36e0146399ee48d6f906f20301b91cdd8ed8bf01.jpg,2,熟肉为前后两篇的合集（2/2）,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
4,＃4【東方MMD紙芝居】魔理沙と霊夢と時々アリス,https://www.youtube.com/watch?v=upaaTZpPLBQ,https://i.ytimg.com/vi_webp/upaaTZpPLBQ/maxresdefault.webp,2021-08-24,【东方MMD】魔理沙、灵梦、时而爱丽丝,https://www.bilibili.com/video/BV1fy4y137bN,https://i1.hdslb.com/bfs/archive/ee20cb209f7a63f8af566e1327678eeb4c3ff0a1.jpg,2,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
5,＃5【東方MMD紙芝居】美鈴受難 デートってなに？,https://www.youtube.com/watch?v=IXdLzjAVaLM,https://i.ytimg.com/vi_webp/IXdLzjAVaLM/maxresdefault.webp,2021-09-01,【东方MMD】美铃艰难的约会是个什么玩意？,https://www.bilibili.com/video/BV1Mb4y1U7Cm,https://i0.hdslb.com/bfs/archive/a9cbcc88ea54db7611850cf5c54058b0d7228e05.jpg,2,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
6,＃6【東方MMD紙芝居】魔理沙、ジョブチェンする（？）,https://www.youtube.com/watch?v=ih1apM2Zp6Q,https://i.ytimg.com/vi/ih1apM2Zp6Q/maxresdefault.jpg,2021-09-12,【东方MMD】魔理沙要转职？,https://www.bilibili.com/video/BV1rq4y1N7V4,https://i1.hdslb.com/bfs/archive/cb5ac636999b11da58cc8b13b9fee7a7dbbb56e1.jpg,2,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
7,＃7【東方MMD紙芝居】魔理沙の新魔法（前編）,https://www.youtube.com/watch?v=AdF444R9osI,https://i.ytimg.com/vi_webp/AdF444R9osI/maxresdefault.webp,2021-09-20,【东方MMD】魔理沙的新魔法,https://www.bilibili.com/video/BV1QU4y1A7mN,https://i2.hdslb.com/bfs/archive/2398637ab18757f1ad9551482be622f2a8c4a6fd.jpg,2,熟肉为前后两篇的合集（1/2）,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
8,＃8【東方MMD紙芝居】魔理沙の新魔法（後編）,https://www.youtube.com/watch?v=ABHuyLpwUnw,https://i.ytimg.com/vi_webp/ABHuyLpwUnw/maxresdefault.webp,2021-10-02,【东方MMD】魔理沙的新魔法,https://www.bilibili.com/video/BV1QU4y1A7mN?&p=2,https://i2.hdslb.com/bfs/archive/2398637ab18757f1ad9551482be622f2a8c4a6fd.jpg,1,熟肉为前后两篇的合集（2/2）,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
9,＃9【東方MMD紙芝居】平和な幻想郷,https://www.youtube.com/watch?v=yZxTMyiYwVQ,https://i.ytimg.com/vi_webp/yZxTMyiYwVQ/maxresdefault.webp,2021-10-12,【东方MMD中文字幕】和平的幻想乡,https://www.bilibili.com/video/BV1Yv4y1A7mS,https://i1.hdslb.com/bfs/archive/0a7ec9d802c3bb1d530c92477324c2309f177e7c.jpg,1,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
10,＃10【東方MMD紙芝居】新たな課題,https://www.youtube.com/watch?v=DXSPvgd1FIc,https://i.ytimg.com/vi/DXSPvgd1FIc/maxresdefault.jpg,2021-10-22,【东方MMD中文字幕】新的任务,https://www.bilibili.com/video/BV1mY4y167KZ,https://i2.hdslb.com/bfs/archive/4963fb517704405d7b166628ef0ee228c74c0e3f.jpg,1,,1,くすり屋,https://www.youtube.com/@kusuriya_,https://yt3.googleusercontent.com/TKVlWIivjxLlM-QcZfrhy0lO5c0h15GKKL-luqDXv0pLM8BulcNKFRSm3W-ArU7MPmVhHYQ=s0,,,,,,,截至目前，已收录该作者所有转载视频
